Symbol,Name
A2A.MI,A2A
AMP.MI,Amplifon
AZM.MI,Azimut
BGN.MI,Banca Generali
BMED.MI,Banca Mediolanum
BAMI.MI,Banco BPM
BPE.MI,BPER Banca
BZU.MI,Buzzi Unicem
CPR.MI,Campari
CNHI.MI,CNH Industrial N.V.
DIA.MI,Diasorin
ENEL.MI,Enel
ENI.MI,Eni
ERG.MI,Erg
RACE.MI,Ferrari
FBK.MI,FinecoBank
G.MI,Generali
HER.MI,Hera
IP.MI,Interpump Group
ISP.MI,Intesa Sanpaolo
INW.MI,INWIT
IG.MI,Italgas
IVG.MI,Iveco Group
LDO.MI,Leonardo
MB.MI,Mediobanca
MONC.MI,Moncler
NEXI.MI,Nexi
PIRC.MI,Pirelli
PST.MI,Poste italiane
PRY.MI,Prysmian
REC.MI,Recordati
SPM.MI,Saipem
SRG.MI,Snam
STLAM.MI,Stellantis
STMMI.MI,STMicroelectronics
TIT.MI,Telecom Italia
TEN.MI,Tenaris
TRN.MI,Terna
UCG.MI,UniCredit
UNI.MI,Unipol
