Symbol,Name
ASML.AS,ASML HLDG
HSBA.L,HSBC
AZN.L,ASTRAZENECA
ROPC.SW,ROCHE PS
NOVN.SW,NOVARTIS
NESN.SW,NESTLE
SHEL.AS,SHELL
SIEGn.DE,SIEMENS
TTEF.PA,TOTALENERGIES
SCHN.PA,SCHNEIDER ELECTRIC
SAN.MC,BCO SANTANDER
SAPG.DE,SAP
ALVG.DE,ALLIANZ
ENR1n.DE,SIEMENS ENERGY
ABBN.SW,ABB
IBE.MC,IBERDROLA
NOVOb.CO,NOVO NORDISK B
UBSG.SW,UBS GROUP
RR.L,ROLLS ROYCE HLDG
LVMH.PA,LVMH MOET HENNESSY
BP.L,BP
BATS.L,BRITISH AMERICAN TOBACCO
ULVR.L,UNILEVER PLC
BBVA.MC,BCO BILBAO VIZCAYA ARGENTARIA
AIRP.PA,AIR LIQUIDE
AIR.PA,AIRBUS
SAF.PA,SAFRAN
CRDI.MI,UNICREDIT
DTEGn.DE,DEUTSCHE TELEKOM
BNPP.PA,BNP PARIBAS
RIO.L,RIO TINTO
GSK.L,GSK
SASY.PA,SANOFI
ISP.MI,INTESA SANPAOLO
OREP.PA,L'OREAL
CFR.SW,CIE FINANCIERE RICHEMONT
ZURN.SW,ZURICH INSURANCE GROUP
NG.L,NATIONAL GRID
ENEI.MI,ENEL
SGEF.PA,VINCI
IFXGn.DE,INFINEON TECHNOLOGIES
INGA.AS,ING GRP
AXAF.PA,AXA
BAES.L,BAE SYSTEMS
BARC.L,BARCLAYS
LLOY.L,LLOYDS BANKING GRP
MUVGn.DE,MUENCHENER RUECK
ABI.BR,ANHEUSER-BUSCH INBEV
INVEb.ST,INVESTOR B
RHMG.DE,RHEINMETALL
GLEN.L,GLENCORE PLC
NOKIA.HE,NOKIA
HRMS.PA,HERMES INTERNATIONAL
REL.L,RELX PLC
ESLX.PA,ESSILORLUXOTTICA
ITX.MC,Industria de Diseno Textil SA
NWG.L,NATWEST GROUP
LSEG.L,LONDON STOCK EXCHANGE
NDAFI.HE,NORDEA BANK
SOGN.PA,GRP SOCIETE GENERALE
ENGIE.PA,ENGIE
DBKGn.DE,DEUTSCHE BANK
PRX.AS,Prosus
BASFn.DE,BASF
DB1Gn.DE,DEUTSCHE BOERSE
DHLn.DE,DEUTSCHE POST
VOLVb.ST,VOLVO B
ENI.MI,ENI
AAL.L,ANGLO AMERICAN
CPG.L,COMPASS GRP
DANO.PA,DANONE
EONGn.DE,E.ON
RWEG.DE,RWE
HOLN.SW,Holcim
GASI.MI,ASSICURAZIONI GENERALI
ATCOa.ST,ATLAS COPCO A
ARGX.BR,ARGENX
DSV.CO,DSV
SRENH.SW,SWISS REINSURANCE COMPANY
ASMI.AS,ASM INTERNATIONAL
LEGD.PA,LEGRAND
STAN.L,STANDARD CHARTERED
SGOB.PA,SAINT GOBAIN
CABK.MC,CAIXABANK
DGE.L,DIAGEO
PRY.MI,PRYSMIAN
SAND.ST,SANDVIK
BAYGn.DE,BAYER
SSE.L,SCOTTISH & SOUTHERN ENERGY
LONN.SW,LONZA
RKT.L,RECKITT BENCKISER GRP
MBGn.DE,MERCEDES-BENZ GROUP
AD.AS,AHOLD DELHAIZE
TSCO.L,TESCO
ORAN.PA,ORANGE
RACE.MI,FERRARI
HLN.L,HALEON
PRU.L,PRUDENTIAL
ASSAb.ST,ASSA ABLOY
ALCC.SW,ALCON
STMMI.MI,STMICROELECTRONICS
ADYEN.AS,ADYEN
SDZ.SW,SANDOZ GROUP
ERICb.ST,ERICSSON LM B
III.L,3I GROUP PLC.
EQNR.OL,EQUINOR
FER.MC,FERROVIAL
UCB.BR,UCB
DANSKE.CO,DANSKE BANK
SLHN.SW,SWISS LIFE HLDG
ERST.VI,ERSTE GROUP BANK
EXPN.L,EXPERIAN
GALD.SW,GALDERMA GROUP N
SWEDa.ST,SWEDBANK
SUNB.L,SUNBELT RENTALS HOLDINGS
ADSGn.DE,ADIDAS
SEBa.ST,SKANDINAVISKA ENSKILDA BK A
VWS.CO,VESTAS WIND SYSTEMS
VOD.L,VODAFONE GRP
ACS.MC,ACS
REP.MC,REPSOL
SIKA.SW,SIKA
KBC.BR,KBC GRP
CBKG.DE,COMMERZBANK
IMB.L,IMPERIAL BRANDS
VIE.PA,VEOLIA ENVIRONNEMENT
EQTAB.ST,EQT
HEIG.DE,HEIDELBERG MATERIALS
GIVN.SW,GIVAUDAN
DTGGe.DE,DAIMLER TRUCK
TCFP.PA,THALES
AV.L,AVIVA
AMA.MC,AMADEUS IT GROUP
SAMPO.HE,SAMPO
BMWG.DE,BMW
DNB.OL,DNB BANK
KNEBV.HE,KONE B
MT.AS,ARCELORMITTAL
LDOF.MI,LEONARDO
MICP.PA,MICHELIN
PGHN.SW,PARTNERS GRP HLDG
AIBG.IR,AIB GROUP
BMPS.MI,BANCA MONTE DEI PASCHI
UMG.AS,UMG
NN.AS,NN GROUP
GEBN.SW,GEBERIT
HEXAb.ST,HEXAGON B
HLMA.L,HALMA
PKO.WA,PKO BANK
HEIN.AS,HEINEKEN
PUBP.PA,PUBLICIS GRP
RYA.IR,RYANAIR
SHBa.ST,SVENSKA HANDELSBANKEN A
CAGR.PA,CREDIT AGRICOLE
SCMN.SW,SWISSCOM
NXT.L,NEXT
BESI.AS,BE SEMICONDUCTOR
NSISb.CO,NOVONESIS
ABNd.AS,ABN AMRO BANK
PKN.WA,ORLEN
IHG.L,INTERCONTINENTAL HOTELS GRP
HBANC.SW,HELVETIA BALOISE HLDG
EMII.MI,BPER Banca
VOWG_p.DE,VOLKSWAGEN PREF
CAPP.PA,CAP GEMINI
PHG.AS,PHILIPS
KPN.AS,KPN
WRT1V.HE,WARTSILA
VACN.SW,VAT GROUP AG
SAABb.ST,SAAB B
AENA.MC,AENA SME
FREG.DE,FRESENIUS
VNAn.DE,Vonovia SE
SABE.MC,BCO SABADELL
PRTP.PA,Kering
ANTO.L,ANTOFAGASTA
BT.L,BT GRP
LGEN.L,LEGAL & GENERAL GRP
MTXGn.DE,MTU AERO ENGINES
HNRGn.DE,HANNOVER RUECK
WLSNc.AS,WOLTERS KLUWER
SGSN.SW,SGS
EPIRa.ST,EPIROC A
BIRG.IR,BANK OF IRELAND GROUP
ALFA.ST,ALFA LAVAL
GMAB.CO,GENMAB
TRN.MI,TERNA
RTO.L,RENTOKIL INITIAL
BAER.SW,JULIUS BAER GRP
TEF.MC,TELEFONICA
MRCG.DE,MERCK
CLNX.MC,CELLNEX TELECOM
EDP.LS,EDP (PT)
BOUY.PA,BOUYGUES
BAMI.MI,BANCO BPM
DAST.PA,DASSAULT SYSTEMS
SRG.MI,SNAM RETE GAS
UPM.HE,UPM KYMMENE
FOUG.PA,EIFFAGE
ESSITYb.ST,Essity B
SHLG.DE,SIEMENS HEALTHINEERS
FBK.MI,FINECOBANK
NESTE.HE,NESTE
STLAM.MI,STELLANTIS
BOL.ST,BOLIDEN
KOG.OL,KONGSBERG GRUPPEN
PERP.PA,PERNOD RICARD
LOGN.SW,LOGITECH INTERNATIONAL
KSP.IR,KINGSPAN GRP
NHY.OL,NORSK HYDRO
SCHP.SW,SCHINDLER P
ELE.MC,ENDESA
SPSN.SW,SWISS PRIME SITE
INF.L,INFORMA
KYGa.IR,KERRY GRP
SN.L,SMITH & NEPHEW
MONC.MI,MONCLER
UU.L,UNITED UTILITIES GRP
CNA.L,CENTRICA
ENX.PA,EURONEXT
BAWG.VI,BAWAG GROUP AG
URW.PA,UNIBAIL-RODAMCO-WESTFIELD
STMN.SW,STRAUMANN
AGES.BR,AGEAS
DPLM.L,DIPLOMA
KNIN.SW,KUEHNE + NAGEL
DSFIR.AS,DSM FIRMENICH AG
CARR.PA,CARREFOUR
CARLb.CO,CARLSBERG B
CCH.L,COCA-COLA HBC
ADML.L,ADMIRAL GRP
PST.MI,POSTE ITALIANE
ORSTED.CO,ORSTED
LISP.SW,LINDT & SPRUENGLI P
TELIA.ST,TELIA COMPANY
WISEa.L,WISE A
ICAG.L,IAG
SVT.L,SEVERN TRENT
AKRBP.OL,AKER BP
SGRO.L,SEGRO
SY1G.DE,SYMRISE
KGH.WA,KGHM
TEL2b.ST,TELE2 B
SGE.L,SAGE GRP
ASRNL.AS,ASR NEDERLAND NV
